,PCODE,Region,Province,Municipality_City,food,clothing,power,entertainment,house_items,Health,Transport,Education,Communication,leisure,eats,poverty
192,PH015509000,Region I,Pangasinan,Basista,13.8,3.7,26.7,7.8,19.9,24.6,1.2,5.0,29.9,4.1,13.6,1.0
193,PH015510000,Region I,Pangasinan,Bautista,12.5,2.6,20.5,8.2,16.7,23.4,2.2,9.4,30.1,3.6,11.8,1.0
194,PH015511000,Region I,Pangasinan,Bayambang,13.5,1.7,12.8,10.7,16.3,24.2,1.9,7.9,27.4,2.0,7.1,1.0
195,PH015512000,Region I,Pangasinan,Binalonan,10.4,2.4,23.5,6.4,14.4,14.8,1.4,9.7,17.3,2.0,11.6,1.0
196,PH015513000,Region I,Pangasinan,Binmaley,10.7,2.0,18.4,7.4,13.9,17.5,1.7,9.6,22.7,2.0,8.8,1.0
197,PH015514000,Region I,Pangasinan,Bolinao,14.6,2.7,18.4,10.2,19.1,28.7,2.8,9.7,35.7,3.0,8.4,1.0
198,PH015515000,Region I,Pangasinan,Bugallon,14.6,2.7,18.5,10.1,19.0,24.8,1.9,7.6,30.1,2.9,9.5,1.0
199,PH015516000,Region I,Pangasinan,Burgos,12.1,3.2,26.3,6.8,17.3,28.7,2.8,9.8,33.5,3.4,10.1,1.0
200,PH015517000,Region I,Pangasinan,Calasiao,11.8,2.4,20.0,8.0,15.7,17.2,1.9,11.1,23.1,2.5,10.7,1.0
201,PH015518000,Region I,Pangasinan,Dagupan City,10.9,2.2,20.3,7.3,14.5,13.9,1.0,7.0,15.7,2.5,15.9,1.0
202,PH015519000,Region I,Pangasinan,Dasol,13.8,2.9,20.9,9.1,18.6,25.3,2.4,9.6,31.0,3.1,9.9,1.0
203,PH015520000,Region I,Pangasinan,Infanta,12.9,3.7,28.4,6.9,18.9,24.0,2.6,11.0,39.0,3.8,9.8,1.0
204,PH015521000,Region I,Pangasinan,Labrador,10.5,3.2,30.1,5.3,15.7,18.6,1.8,9.9,31.7,3.9,12.2,1.0
205,PH015522000,Region I,Pangasinan,Lingayen,11.2,2.1,18.7,7.8,14.7,18.3,1.1,5.8,24.0,2.6,11.0,1.0
206,PH015523000,Region I,Pangasinan,Mabini,13.0,3.2,24.3,7.8,18.2,21.5,1.6,7.6,40.3,3.6,8.8,1.0
207,PH015524000,Region I,Pangasinan,Malasiqui,13.1,2.0,15.5,9.8,16.5,24.5,1.5,6.3,28.2,2.0,7.2,1.0
208,PH015525000,Region I,Pangasinan,Manaoag,12.8,2.5,19.8,8.6,17.0,22.3,2.5,11.2,22.4,2.3,10.4,1.0
209,PH015526000,Region I,Pangasinan,Mangaldan,12.1,2.1,17.7,8.6,15.6,17.8,1.3,7.0,22.7,2.2,9.7,1.0
210,PH015527000,Region I,Pangasinan,Mangatarem,13.0,2.2,16.8,9.4,16.7,25.5,2.0,8.0,30.8,1.9,6.0,1.0
211,PH015528000,Region I,Pangasinan,Mapandan,11.6,2.4,21.0,7.6,15.7,21.3,2.1,10.0,23.8,3.2,13.4,1.0
212,PH015529000,Region I,Pangasinan,Natividad,11.6,2.3,20.2,7.7,15.4,21.5,2.8,12.8,19.9,2.8,14.1,1.0
213,PH015530000,Region I,Pangasinan,Possorubio,11.8,2.3,19.7,8.0,15.6,20.0,1.4,7.2,24.3,2.1,8.7,1.0
214,PH015531000,Region I,Pangasinan,Rosales,11.7,2.2,19.0,8.1,15.4,17.9,1.9,10.4,26.4,2.2,8.2,1.0
215,PH015532000,Region I,Pangasinan,San Carlos City,13.4,1.9,13.9,10.3,16.5,26.4,1.9,7.3,29.5,1.8,6.2,1.0
216,PH015533000,Region I,Pangasinan,San Fabian,11.6,2.2,18.7,8.0,15.1,22.1,2.3,10.3,32.8,2.5,7.5,1.0
217,PH015534000,Region I,Pangasinan,San Jacinto,12.8,2.9,22.6,8.0,17.5,21.1,2.6,12.3,24.2,2.8,11.6,1.0
218,PH015535000,Region I,Pangasinan,San Manuel,13.3,3.3,24.8,7.9,18.7,21.3,2.1,10.0,28.2,3.3,11.7,1.0
219,PH015536000,Region I,Pangasinan,San Nicolas,11.0,2.0,18.3,7.7,14.3,18.9,1.2,6.6,25.3,2.1,8.3,1.0
220,PH015537000,Region I,Pangasinan,San Quintin,13.2,2.6,19.4,9.0,17.4,20.5,2.3,11.2,26.0,2.9,11.3,1.0
221,PH015538000,Region I,Pangasinan,Santa Barbara,12.6,2.2,17.9,8.8,16.3,20.4,2.1,10.2,28.2,2.4,8.4,1.0
222,PH015539000,Region I,Pangasinan,Santa Maria,11.0,2.5,22.9,6.8,15.1,18.3,2.5,13.8,24.2,2.6,10.5,1.0
223,PH015540000,Region I,Pangasinan,Santo Tomas,10.6,3.7,34.5,4.6,16.7,17.5,1.2,6.6,22.8,3.7,16.3,1.0
224,PH015541000,Region I,Pangasinan,Sison,11.8,2.0,16.7,8.5,15.0,18.9,1.7,8.8,29.2,2.7,9.1,1.0
225,PH015542000,Region I,Pangasinan,Sual,13.7,3.6,26.1,7.8,19.6,26.7,1.3,4.9,36.7,3.2,8.8,1.0
226,PH015543000,Region I,Pangasinan,Tayug,10.1,2.2,21.6,6.5,13.7,16.4,1.2,7.3,15.5,2.6,16.9,1.0
227,PH015544000,Region I,Pangasinan,Umingan,12.4,2.3,18.4,8.7,16.2,22.9,2.2,9.6,38.5,2.5,6.5,1.0
228,PH015545000,Region I,Pangasinan,Urbiztondo,15.6,3.3,21.1,10.2,21.0,31.7,3.0,9.6,33.2,3.1,9.3,1.0
229,PH015546000,Region I,Pangasinan,Urdaneta City,11.2,1.9,16.7,8.1,14.3,14.4,1.2,8.4,18.9,2.1,11.1,1.0
230,PH015547000,Region I,Pangasinan,Villasis,11.2,2.7,24.2,6.7,15.6,17.0,1.7,9.8,19.4,2.7,14.0,1.0
231,PH015548000,Region I,Pangasinan,Laoac,11.4,2.3,20.1,7.6,15.1,21.0,1.2,5.9,26.5,2.7,10.0,1.0
232,PH020901000,Region II,Batanes,Basco,16.9,3.3,19.3,11.5,22.2,5.1,1.9,36.8,4.1,2.0,49.4,0.0
233,PH020902000,Region II,Batanes,Itbayat,34.1,5.2,15.2,25.6,42.6,12.6,4.2,33.4,18.2,6.4,35.0,0.0
234,PH020903000,Region II,Batanes,Ivana,16.4,4.4,26.6,9.2,23.6,8.9,3.8,42.2,21.9,12.0,54.8,0.0
235,PH020904000,Region II,Batanes,Mahatao,21.4,4.3,20.1,14.4,28.5,8.9,3.8,42.8,13.5,4.7,34.6,0.0
236,PH020905000,Region II,Batanes,Sabtang,30.6,4.6,15.2,23.0,38.3,11.4,3.9,33.8,10.0,5.0,50.0,0.0
237,PH020906000,Region II,Batanes,Uyugan,18.1,4.1,22.7,11.4,24.9,8.1,3.2,39.6,6.0,3.2,54.3,0.0
238,PH021501000,Region II,Cagayan,Abulog,20.9,2.1,9.9,17.5,24.3,21.6,2.6,12.1,18.0,3.2,17.6,0.0
239,PH021502000,Region II,Cagayan,Alcala,18.9,2.3,12.0,15.2,22.6,21.8,2.3,10.4,22.3,2.2,9.7,0.0
240,PH021503000,Region II,Cagayan,Allacapan,18.0,1.9,10.5,14.9,21.1,21.2,2.6,12.4,23.8,3.9,16.1,0.0
241,PH021504000,Region II,Cagayan,Amulung,25.2,2.6,10.2,20.9,29.4,27.9,2.1,7.5,36.7,4.2,11.5,0.0
242,PH021505000,Region II,Cagayan,Aparri,21.8,2.0,9.2,18.5,25.2,15.4,1.7,11.2,17.1,2.9,17.1,0.0
243,PH021506000,Region II,Cagayan,Baggao,22.0,2.3,10.3,18.2,25.7,22.6,1.9,8.6,30.0,2.5,8.3,0.0
244,PH021507000,Region II,Cagayan,Ballesteros,17.9,2.5,13.8,13.8,22.0,22.7,2.5,11.1,16.7,2.6,15.8,0.0
245,PH021508000,Region II,Cagayan,Buguey,18.6,2.0,10.6,15.3,21.8,22.4,2.3,10.2,20.8,2.6,12.4,0.0
246,PH021509000,Region II,Cagayan,Calayan,47.4,5.2,10.9,38.9,55.9,27.7,4.1,14.9,24.2,4.8,19.7,0.0
247,PH021510000,Region II,Cagayan,Camalaniugan,17.1,1.7,10.1,14.2,19.9,16.9,1.9,11.5,19.5,2.7,13.9,0.0
248,PH021511000,Region II,Cagayan,Claveria,14.6,1.7,11.9,11.7,17.4,15.1,1.8,12.1,10.8,2.1,19.3,0.0
249,PH021512000,Region II,Cagayan,Enrile,19.7,2.1,10.7,16.2,23.1,19.8,2.3,11.5,24.8,3.4,13.8,0.0
250,PH021513000,Region II,Cagayan,Gattaran,16.7,1.9,11.2,13.6,19.8,19.2,1.9,9.9,24.6,2.3,9.5,0.0
251,PH021514000,Region II,Cagayan,Gonzaga,13.4,1.6,12.3,10.7,16.1,16.6,2.4,14.5,19.9,3.0,15.2,0.0
252,PH021515000,Region II,Cagayan,Iguig,14.3,1.9,13.6,11.1,17.5,19.5,2.3,11.7,22.3,3.7,16.4,0.0
253,PH021516000,Region II,Cagayan,Lal-lo,15.5,2.0,12.6,12.3,18.8,16.7,2.2,13.1,15.3,2.5,16.1,0.0
254,PH021517000,Region II,Cagayan,Lasam,13.6,1.6,11.8,11.0,16.3,18.2,2.2,11.8,18.5,2.2,12.1,0.0
255,PH021518000,Region II,Cagayan,Pamplona,26.7,2.8,10.3,22.2,31.3,20.7,2.6,12.4,19.7,3.5,17.9,0.0
256,PH021519000,Region II,Cagayan,Penablanca,20.1,1.8,9.1,17.1,23.1,18.2,2.4,13.0,24.5,4.0,16.1,0.0
257,PH021520000,Region II,Cagayan,Piat,15.6,2.3,14.6,11.8,19.3,22.5,2.8,12.5,29.3,4.0,13.7,0.0
258,PH021521000,Region II,Cagayan,Rizal,18.8,2.1,11.0,15.4,22.2,26.1,2.8,10.9,28.1,3.3,11.8,0.0
259,PH021522000,Region II,Cagayan,Sanchez-Mira,17.2,2.0,11.7,13.9,20.5,13.4,2.2,16.6,12.8,2.3,18.0,0.0
260,PH021523000,Region II,Cagayan,Santa Ana,20.6,2.5,12.3,16.5,24.8,16.3,2.7,16.2,14.7,3.7,25.4,0.0
261,PH021524000,Region II,Cagayan,Santa Praxedes,17.5,3.4,19.5,11.9,23.1,17.2,3.7,21.4,12.2,3.6,29.8,0.0
262,PH021525000,Region II,Cagayan,Santa Teresita,16.2,2.0,12.3,12.9,19.4,18.6,3.1,16.5,18.6,3.0,16.3,0.0
263,PH021526000,Region II,Cagayan,Santo Nino,22.1,2.5,11.3,18.0,26.2,26.3,3.0,11.2,28.0,3.4,12.1,0.0
264,PH021527000,Region II,Cagayan,Solana,22.7,1.9,8.5,19.5,25.9,22.5,2.0,8.8,32.8,3.8,11.5,0.0
265,PH021528000,Region II,Cagayan,Tuao,17.9,2.1,11.5,14.5,21.3,22.7,2.3,10.2,32.3,4.0,12.4,0.0
266,PH021529000,Region II,Cagayan,Tuguegarao City,9.3,1.1,11.8,7.5,11.1,8.5,1.1,12.9,7.7,2.1,27.0,0.0
267,PH023101000,Region II,Isabela,Alicia,15.2,2.0,13.2,11.9,18.5,17.2,2.0,11.8,18.3,2.0,11.1,0.0
268,PH023102000,Region II,Isabela,Angadanan,17.6,1.6,9.0,15.0,20.2,18.9,1.8,9.4,26.9,3.0,11.1,0.0
269,PH023103000,Region II,Isabela,Aurora,13.1,1.8,14.0,10.1,16.1,16.4,1.9,11.9,15.9,2.3,14.2,0.0
270,PH023104000,Region II,Isabela,Benito Soliven,23.6,2.2,9.3,20.0,27.2,25.4,2.9,11.3,32.0,5.0,15.5,0.0
271,PH023105000,Region II,Isabela,Burgos,14.0,2.5,18.1,9.8,18.2,18.2,3.3,18.1,19.1,3.0,15.7,0.0
272,PH023106000,Region II,Isabela,Cabagan,19.3,2.3,12.1,15.5,23.2,16.6,1.8,11.0,22.9,3.1,13.6,0.0
273,PH023107000,Region II,Isabela,Cabatuan,14.2,2.1,15.0,10.7,17.6,12.7,2.1,16.8,13.7,2.1,15.5,0.0
274,PH023108000,Region II,Isabela,Cauayan City,17.3,1.6,9.4,14.6,20.0,15.9,1.5,9.6,16.8,1.9,11.4,0.0
275,PH023109000,Region II,Isabela,Cordon,18.6,2.1,11.4,15.1,22.1,16.3,2.0,12.4,20.4,2.6,12.5,0.0
276,PH023110000,Region II,Isabela,Dinapigue,25.8,5.1,19.7,17.5,34.2,13.8,4.9,35.3,13.6,5.3,39.2,0.0
277,PH023111000,Region II,Isabela,Divilican,45.7,5.6,12.4,36.4,55.0,23.6,4.1,17.4,25.3,6.8,26.7,0.0
278,PH023112000,Region II,Isabela,Echague,17.5,1.3,7.5,15.3,19.6,15.2,1.4,9.2,20.4,1.9,9.1,0.0
279,PH023113000,Region II,Isabela,Gamu,16.2,2.2,13.5,12.6,19.8,14.8,2.6,17.7,14.8,2.7,18.1,0.0
280,PH023114000,Region II,Isabela,Ilagan,17.9,1.4,7.7,15.6,20.1,15.3,1.3,8.3,21.6,2.2,10.1,0.0
281,PH023115000,Region II,Isabela,Jones,12.6,1.8,14.3,9.6,15.5,15.5,2.1,13.7,20.5,2.8,13.9,0.0
282,PH023116000,Region II,Isabela,Luna,10.4,2.3,21.7,6.7,14.1,13.8,2.2,16.2,16.1,2.4,15.2,0.0
283,PH023117000,Region II,Isabela,Maconacon,29.3,4.5,15.3,21.9,36.6,9.9,2.4,24.3,10.1,2.9,29.0,0.0
284,PH023118000,Region II,Isabela,Delfin Albano,16.3,1.9,11.9,13.1,19.5,19.9,2.2,11.2,19.1,2.3,12.0,0.0
285,PH023119000,Region II,Isabela,Mallig,18.6,2.3,12.1,14.9,22.4,23.8,2.7,11.4,23.6,3.1,13.1,0.0
286,PH023120000,Region II,Isabela,Naguilian,19.2,1.9,9.9,16.1,22.4,18.7,2.0,10.5,22.9,2.7,11.6,0.0
287,PH023121000,Region II,Isabela,Palanan,48.6,5.1,10.5,40.2,57.0,19.8,2.9,14.9,21.3,4.2,19.6,0.0
288,PH023122000,Region II,Isabela,Quezon,24.2,2.9,11.9,19.5,28.9,23.8,3.4,14.2,21.4,3.0,13.9,0.0
289,PH023123000,Region II,Isabela,Quirino,15.9,2.1,13.4,12.4,19.4,20.4,2.2,10.8,24.8,3.7,14.8,0.0
290,PH023124000,Region II,Isabela,Ramon,18.1,2.1,11.6,14.6,21.5,16.3,2.1,13.1,15.7,2.7,17.3,0.0
291,PH023125000,Region II,Isabela,Reina Mercedes,16.2,2.1,13.2,12.7,19.8,14.0,2.5,17.9,23.5,3.6,15.3,0.0
292,PH023126000,Region II,Isabela,Roxas,15.6,1.9,12.0,12.5,18.7,15.8,2.1,13.2,16.1,2.3,14.3,0.0
293,PH023127000,Region II,Isabela,San Agustin,14.6,2.1,14.5,11.1,18.1,11.8,2.0,17.1,19.6,2.7,13.7,0.0
294,PH023128000,Region II,Isabela,San Guillermo,27.6,3.3,12.0,22.2,33.0,21.6,2.5,11.6,36.1,6.6,18.2,0.0
295,PH023129000,Region II,Isabela,San Isidro,14.6,2.0,13.8,11.3,18.0,17.3,2.7,15.6,18.5,2.9,15.6,0.0
296,PH023130000,Region II,Isabela,San Manuel,16.2,2.0,12.6,12.8,19.5,20.5,2.4,11.9,22.7,2.9,12.9,0.0
297,PH023131000,Region II,Isabela,San Mariano,30.6,2.2,7.1,27.0,34.2,24.2,2.0,8.3,29.8,4.5,15.0,0.0
298,PH023132000,Region II,Isabela,San Mateo,12.7,1.8,14.3,9.7,15.7,14.6,2.1,14.2,14.3,2.0,13.9,0.0
299,PH023133000,Region II,Isabela,San Pablo,24.4,3.3,13.5,19.0,29.8,19.7,3.3,16.7,24.9,3.7,14.8,0.0
300,PH023134000,Region II,Isabela,Santa Maria,31.3,3.2,10.3,26.0,36.6,24.4,2.9,11.8,28.3,4.1,14.4,0.0
301,PH023135000,Region II,Isabela,Santiago City,15.0,1.7,11.3,12.2,17.8,10.8,1.6,14.3,9.8,2.2,22.1,0.0
302,PH023136000,Region II,Isabela,Santo Tomas,23.4,2.3,10.0,19.5,27.2,18.5,2.4,12.9,23.5,3.4,14.5,0.0
303,PH023137000,Region II,Isabela,Tumaini,20.3,1.7,8.5,17.5,23.2,19.8,1.8,9.0,23.8,2.5,10.6,0.0
304,PH025001000,Region II,Nueva Vizcaya,Ambaguio,38.9,5.5,14.1,29.9,47.9,15.5,3.9,25.1,17.8,4.5,25.3,0.0
305,PH025002000,Region II,Nueva Vizcaya,Aritao,11.9,2.0,16.8,8.6,15.2,16.2,2.1,13.1,12.7,2.4,19.0,0.0
306,PH025003000,Region II,Nueva Vizcaya,Bagabag,9.8,2.0,20.5,6.5,13.1,13.4,2.2,16.2,12.9,2.2,16.8,0.0
307,PH025004000,Region II,Nueva Vizcaya,Bambang,10.3,1.5,14.1,7.9,12.7,11.3,1.5,13.6,10.8,1.7,15.8,0.0
308,PH025005000,Region II,Nueva Vizcaya,Bayombong,8.7,1.3,14.8,6.6,10.9,8.6,1.4,16.7,7.1,1.6,22.9,0.0
309,PH025006000,Region II,Nueva Vizcaya,Diadi,16.5,2.2,13.6,12.8,20.2,17.6,2.1,12.1,18.8,2.8,14.8,0.0
310,PH025007000,Region II,Nueva Vizcaya,Dupax del Norte,14.6,1.9,13.3,11.4,17.7,11.4,2.5,21.6,16.5,3.0,18.2,0.0
311,PH025008000,Region II,Nueva Vizcaya,Dupax del Sur,17.0,2.1,12.5,13.5,20.5,15.4,2.5,16.4,15.0,3.1,20.5,0.0
312,PH025009000,Region II,Nueva Vizcaya,Kasibu,22.8,2.8,12.2,18.2,27.3,13.6,2.1,15.5,15.8,2.9,18.4,0.0
313,PH025010000,Region II,Nueva Vizcaya,Kayapa,32.9,3.6,10.9,27.0,38.8,16.1,2.4,14.9,15.8,3.1,19.5,0.0
314,PH025011000,Region II,Nueva Vizcaya,Quezon,21.0,3.1,14.9,15.9,26.2,16.6,3.3,19.6,18.5,3.3,17.9,0.0
315,PH025012000,Region II,Nueva Vizcaya,Santa Fe,23.6,3.2,13.4,18.4,28.9,11.4,2.6,23.1,15.2,5.1,33.4,0.0
316,PH025013000,Region II,Nueva Vizcaya,Solano,9.5,1.6,16.6,6.9,12.1,10.1,1.7,17.3,6.9,1.4,20.8,0.0
317,PH025014000,Region II,Nueva Vizcaya,Villaverde,9.6,2.1,22.3,6.1,13.1,11.1,2.7,24.4,12.3,3.1,25.1,0.0
318,PH025015000,Region II,Nueva Vizcaya,Alfonso Castaneda,33.5,6.4,19.1,22.9,44.0,14.0,4.6,33.1,14.1,3.9,27.4,0.0
319,PH025701000,Region II,Quirino,Aglipay,18.2,2.2,12.2,14.5,21.8,16.3,2.4,14.8,22.0,3.1,14.3,0.0
320,PH025702000,Region II,Quirino,Cobarronguis,15.2,2.3,14.9,11.5,18.9,11.8,2.3,19.5,12.1,2.5,21.0,0.0
321,PH025703000,Region II,Quirino,Diffun,15.8,1.7,11.0,12.9,18.6,17.5,1.9,10.6,23.0,2.9,12.6,0.0
322,PH025704000,Region II,Quirino,Madella,13.7,1.8,12.8,10.8,16.6,14.4,2.0,13.9,17.5,2.7,15.4,0.0
323,PH025705000,Region II,Quirino,Saguday,12.6,2.8,22.0,8.0,17.2,18.8,3.3,17.5,20.1,3.4,16.8,0.0
324,PH025706000,Region II,Quirino,Nagtipunan,26.2,3.5,13.4,20.4,32.0,15.4,3.1,20.1,23.4,5.3,22.6,0.0
325,PH030801000,Region III,Bataan,Abucay,4.0,1.0,25.8,2.3,5.6,7.0,2.1,29.5,8.7,2.2,24.9,0.0
326,PH030802000,Region III,Bataan,Bagac,9.4,1.3,13.4,7.3,11.4,19.7,3.3,16.8,15.7,3.3,21.0,0.0
327,PH030803000,Region III,Bataan,City of Balanga,4.3,0.8,18.2,3.0,5.6,5.9,1.2,21.1,7.8,1.7,21.4,0.0
328,PH030804000,Region III,Bataan,Dinalupihan,5.7,0.8,14.1,4.4,7.1,11.7,1.9,16.2,12.6,2.1,16.5,0.0
329,PH030805000,Region III,Bataan,Hermosa,10.7,1.2,10.9,8.8,12.6,12.6,2.0,16.0,13.5,2.5,18.1,0.0
330,PH030806000,Region III,Bataan,Limay,5.8,1.1,19.4,3.9,7.6,7.4,2.4,32.5,6.6,2.3,34.5,0.0
331,PH030807000,Region III,Bataan,Mariveles,2.6,0.6,21.8,1.6,3.5,7.2,1.8,24.7,12.1,2.2,18.3,0.0
332,PH030808000,Region III,Bataan,Morong,12.7,2.2,17.8,9.0,16.4,20.8,4.8,22.9,16.1,4.5,28.0,0.0
333,PH030809000,Region III,Bataan,Orani,7.4,1.1,14.4,5.6,9.1,10.4,1.8,17.6,11.3,1.8,16.0,0.0
334,PH030810000,Region III,Bataan,Orion,9.8,1.2,12.6,7.8,11.9,9.5,1.8,19.0,9.5,1.9,19.9,0.0
335,PH030811000,Region III,Bataan,Pilar,7.7,1.2,15.7,5.7,9.6,8.9,2.0,23.0,7.2,1.7,23.5,0.0
336,PH030812000,Region III,Bataan,Samal,4.6,0.8,16.4,3.3,5.8,12.0,2.2,18.0,15.3,3.2,21.2,0.0
337,PH031401000,Region III,Bulacan,Angat,7.2,1.2,17.2,5.1,9.2,7.8,1.9,24.9,11.4,2.3,19.9,0.0
338,PH031402000,Region III,Bulacan,Balagtas,4.2,1.2,29.4,2.2,6.2,5.5,1.9,33.9,4.7,1.8,38.3,0.0
339,PH031403000,Region III,Bulacan,Baliuag,5.4,0.8,15.3,4.0,6.7,5.7,1.3,22.6,4.3,1.3,29.1,0.0
340,PH031404000,Region III,Bulacan,Bocaue,4.2,1.0,23.0,2.6,5.8,3.4,1.4,40.6,4.0,1.6,38.5,0.0
341,PH031405000,Region III,Bulacan,Bulacan,5.7,1.1,18.8,3.9,7.5,3.6,1.3,36.9,5.2,1.7,33.2,0.0
342,PH031406000,Region III,Bulacan,Bustos,5.9,1.1,18.6,4.1,7.7,8.1,2.0,24.3,10.0,2.6,25.7,0.0
343,PH031407000,Region III,Bulacan,Calumpit,5.2,0.9,17.6,3.7,6.7,6.4,1.5,22.8,5.3,1.0,19.2,0.0
344,PH031408000,Region III,Bulacan,Guiguinto,4.3,1.1,26.6,2.4,6.2,4.1,1.3,31.3,5.0,1.4,28.2,0.0
345,PH031409000,Region III,Bulacan,Hagonoy,8.6,1.1,12.4,6.8,10.3,8.6,1.6,18.4,6.7,1.5,22.5,0.0
346,PH031410000,Region III,Bulacan,Malolos,4.1,0.6,13.6,3.2,5.0,5.2,0.8,15.5,3.6,0.9,24.0,0.0
347,PH031411000,Region III,Bulacan,Marilao,2.8,0.8,30.0,1.4,4.2,3.4,1.3,37.1,6.6,1.7,26.1,0.0
348,PH031412000,Region III,Bulacan,Meycauayan,1.7,0.5,30.4,0.9,2.6,4.5,1.3,27.9,4.2,1.2,28.3,0.0
349,PH031413000,Region III,Bulacan,Norzagaray,6.7,1.5,23.0,4.2,9.2,10.0,2.4,24.0,10.2,3.4,33.1,0.0
350,PH031414000,Region III,Bulacan,Obando,4.1,1.1,27.8,2.2,5.9,6.8,2.1,30.8,6.2,2.0,32.9,0.0
351,PH031415000,Region III,Bulacan,Pandi,6.9,1.1,16.4,5.0,8.7,7.6,1.7,22.0,14.1,2.5,18.1,0.0
352,PH031416000,Region III,Bulacan,Paombong,10.4,1.5,14.7,7.9,12.9,7.1,1.8,25.5,7.6,2.1,28.2,0.0
353,PH031417000,Region III,Bulacan,Plaridel,6.0,0.9,15.0,4.5,7.5,5.0,1.5,29.4,5.2,1.4,27.3,0.0
354,PH031418000,Region III,Bulacan,Pulilan,4.8,0.8,16.7,3.5,6.1,6.9,1.4,20.8,10.6,2.2,20.2,0.0
355,PH031419000,Region III,Bulacan,San Idelfonso,11.9,1.0,8.7,10.2,13.7,12.3,1.5,12.0,18.2,2.2,11.9,0.0
356,PH031420000,Region III,Bulacan,San Jose Monte City,5.1,0.9,17.5,3.7,6.6,5.8,1.1,19.0,5.0,0.9,18.8,0.0
357,PH031421000,Region III,Bulacan,San Miguel,12.6,1.1,8.9,10.7,14.4,11.8,1.6,13.5,13.8,1.8,13.3,0.0
358,PH031422000,Region III,Bulacan,San Rafael,7.3,1.0,13.6,5.7,8.9,8.3,1.4,16.3,11.4,1.9,16.6,0.0
359,PH031423000,Region III,Bulacan,Santa Maria,4.1,0.8,19.0,2.8,5.4,5.0,1.3,26.2,5.6,1.2,21.5,0.0
360,PH031424000,Region III,Bulacan,Dona Remedios Trinidad,24.6,3.3,13.4,19.2,30.0,35.2,5.4,15.4,48.3,7.2,15.0,0.0
361,PH034901000,Region III,Nueva Ecija,Allaga,19.0,1.9,9.8,15.9,22.1,25.4,3.6,14.2,30.5,4.0,13.1,0.0
362,PH034902000,Region III,Nueva Ecija,Bongabon,16.5,1.5,9.2,14.0,19.0,21.7,2.8,13.0,29.5,2.8,9.3,0.0
363,PH034903000,Region III,Nueva Ecija,Cabanatuan City,10.6,0.9,8.4,9.1,12.1,10.9,1.1,9.9,12.2,1.2,9.8,0.0
364,PH034904000,Region III,Nueva Ecija,Cabiao,15.2,2.0,12.9,12.0,18.4,15.2,2.5,16.4,17.2,2.7,15.7,0.0
365,PH034905000,Region III,Nueva Ecija,Carranglan,28.8,2.3,8.0,25.0,32.6,32.3,4.0,12.4,38.4,4.4,11.5,0.0
366,PH034906000,Region III,Nueva Ecija,Cuyapo,21.3,1.6,7.4,18.7,23.9,27.2,2.4,8.9,26.1,2.5,9.4,0.0
367,PH034907000,Region III,Nueva Ecija,Gabaldon,24.1,2.0,8.2,20.9,27.4,29.2,3.4,11.6,32.4,3.9,12.1,0.0
368,PH034908000,Region III,Nueva Ecija,Gapan City,12.5,1.5,11.8,10.0,14.9,14.0,2.0,14.3,14.9,2.5,16.5,0.0
369,PH034909000,Region III,Nueva Ecija,Gen Mamerio Natividad,18.1,1.6,8.6,15.5,20.6,26.8,3.1,11.4,33.2,4.3,12.9,0.0
370,PH034910000,Region III,Nueva Ecija,Gen Tinio,15.4,2.0,13.2,12.0,18.7,15.7,3.3,20.8,19.7,4.9,24.8,0.0
371,PH034911000,Region III,Nueva Ecija,Guimba,20.7,1.5,7.3,18.2,23.2,25.2,2.3,9.1,35.1,3.3,9.5,0.0
372,PH034912000,Region III,Nueva Ecija,Jaen,17.7,1.6,9.2,15.0,20.4,19.0,2.7,14.2,22.5,2.7,11.9,0.0
373,PH034913000,Region III,Nueva Ecija,Laur,25.4,2.1,8.4,21.9,28.9,31.2,3.5,11.1,30.5,3.6,11.6,0.0
374,PH034914000,Region III,Nueva Ecija,Licab,16.3,1.8,11.3,13.3,19.4,25.5,4.1,16.1,22.2,3.5,15.8,0.0
375,PH034915000,Region III,Nueva Ecija,Llanera,18.0,1.5,8.6,15.5,20.5,25.7,3.1,11.8,32.1,4.1,12.6,0.0
376,PH034916000,Region III,Nueva Ecija,Lupao,18.9,2.0,10.6,15.6,22.2,26.4,3.3,12.3,34.6,3.7,10.8,0.0
377,PH034917000,Region III,Nueva Ecija,Munoz City,15.1,1.3,8.7,12.9,17.3,21.4,2.6,12.0,26.0,2.7,10.4,0.0
378,PH034918000,Region III,Nueva Ecija,Nampicuan,16.3,1.8,10.8,13.4,19.2,25.8,3.3,12.9,28.1,4.1,14.6,0.0
379,PH034919000,Region III,Nueva Ecija,Palayan City,16.9,1.7,9.8,14.2,19.7,16.0,2.1,13.0,15.4,2.6,17.0,0.0
380,PH034920000,Region III,Nueva Ecija,Pantabangan,19.5,1.8,9.3,16.5,22.5,21.8,3.2,14.5,34.1,4.4,12.8,0.0
381,PH034921000,Region III,Nueva Ecija,Penafranda,15.0,2.3,15.3,11.2,18.8,11.3,3.1,27.1,16.4,3.9,23.5,0.0
382,PH034922000,Region III,Nueva Ecija,Quezon,24.1,2.2,9.1,20.5,27.7,26.7,3.3,12.2,29.2,3.8,12.9,0.0
